uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1727100913","23 Sep 2024, 14:15","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Meteora","01e51f7c-4b95-4ae3-a707-181b74b1ebab","Faint","674bb261-8b98-4e98-a748-ffb52c66cc3a"
"1727100668","23 Sep 2024, 14:11","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Minutes to Midnight","012514b5-dc0f-4418-b67a-c6a8d3af4096","Bleed It Out","77bfaa37-1470-4e3e-9461-d8ec794a8d72"
"1727100068","23 Sep 2024, 14:01","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Joy Inside My Tears","08342e6d-da8f-41fc-9ee3-58d459641848"
"1727099175","23 Sep 2024, 13:46","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Isn't She Lovely",""
"1727098781","23 Sep 2024, 13:39","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Ordinary Pain","0765d145-4b47-3e29-8729-f4ed2bfdaa4b"
"1727098527","23 Sep 2024, 13:35","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Summer Soft","0b6c9959-fdee-4b32-adcd-c3b9d05dfa6b"
"1727098073","23 Sep 2024, 13:27","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Pastime Paradise","bd8c2adf-51c9-4f42-a82f-39ede534cb8d"
"1727097847","23 Sep 2024, 13:24","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Pastime Paradise","bd8c2adf-51c9-4f42-a82f-39ede534cb8d"
"1727097630","23 Sep 2024, 13:20","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Knocks Me Off My Feet","a8a618b4-ce18-4c01-bb09-9d4a46499f47"
"1727097377","23 Sep 2024, 13:16","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","I Wish","a6b7b260-2aa3-4779-8114-c76360edf9ce"
"1727097144","23 Sep 2024, 13:12","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Sir Duke",""
"1727096918","23 Sep 2024, 13:08","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Contusion","007c15a9-65b4-3085-94c0-5b1f5af56e05"
"1727096713","23 Sep 2024, 13:05","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Village Ghetto Land","e464e504-70a3-48c3-b13d-f5757dcf11dc"
"1727096508","23 Sep 2024, 13:01","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Have a Talk with God","05dedda2-7b7d-4529-a7de-287b80ecfd9e"
"1727096077","23 Sep 2024, 12:54","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Love's in Need of Love Today","d19057fd-e162-401a-8c60-7a31d1ef38f6"
"1727095973","23 Sep 2024, 12:52","OG Keemo","","Fieber","b8087813-70a4-4237-aa54-361268667864","Aus dem Schneider - Freestyle",""
"1727095737","23 Sep 2024, 12:48","Don Toliver","a0723a3c-4135-438e-85c5-012712144ede","HARDSTONE PSYCHO","","glock",""
"1727095472","23 Sep 2024, 12:44","Hasso Gakudan","","Pom Poko Soundtrack","","Life of a Tanuki",""
"1727095260","23 Sep 2024, 12:41","Cécile Corbel","f71bb99b-cc5d-4c30-a42e-297d1b04e129","Arrietty Soundtrack","","Arrietty's Song (Instrumental Version)","0c6c49ad-c403-3b06-824c-5814dd93e8ad"
